case,field,security_level,pow_bits,starting_rate,num_variables,poly_dim,evaluations,initial_folding_factor,folding_factor,unique_decoding,run_count,repetitions,hash,prover_ms,verify_ms,argument_size_bytes,argument_size_kb,prover_hashes,verifier_hashes,ldt_prover_ms,ldt_verify_ms,ldt_argument_size_bytes,ldt_argument_size_kb,ldt_prover_hashes,ldt_verifier_hashes
ff_goldilocks3_d4_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,4,16,1,4,4,True,3,1000,Blake3,5.530906333333333,0.3417302446666667,33672,32.8828125,922408,263,6.135420333333333,0.400395174,33480,32.6953125,1219096,263
ff_goldilocks3_d5_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,5,32,1,4,4,True,3,1000,Blake3,7.287125,0.42443789833333334,33744,32.953125,1198092,265,8.571376,0.3901892753333333,33552,32.765625,1702546,265
ff_goldilocks3_d6_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,6,64,1,4,4,True,3,1000,Blake3,3.6789983333333334,0.37583327033333336,33840,33.046875,603674,269,3.138849,0.40795747899999996,33648,32.859375,422708,269
ff_goldilocks3_d7_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,7,128,1,4,4,True,3,1000,Blake3,6.202549,0.4780503386666667,33984,33.1875,1058058,277,3.2608646666666665,0.471666876,33792,33.0,457716,277
ff_goldilocks3_d8_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,8,256,1,4,4,True,3,1000,Blake3,13.083487666666667,0.6273635746666666,79608,77.7421875,2134142,428,8.438016,0.6758714573333333,79416,77.5546875,1573294,428
ff_goldilocks3_d9_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,9,512,1,4,4,True,3,1000,Blake3,9.618034,0.8260747246666666,79712,77.84375,1418414,476,5.995917333333334,0.829316029,79584,77.71875,945859,476
ff_goldilocks3_d10_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,10,1024,1,4,4,True,3,1000,Blake3,8.578136,0.7320734703333333,80768,78.875,1205305,570,5.172137333333334,0.752138999,80288,78.40625,535385,572
ff_goldilocks3_d11_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,11,2048,1,4,4,True,3,1000,Blake3,9.971366333333334,0.939275092,83472,81.515625,1024851,734,15.859417333333333,0.9319274216666666,83440,81.484375,2871379,740
ff_goldilocks3_d12_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,12,4096,1,4,4,True,3,1000,Blake3,18.225914333333332,1.5091913493333333,132584,129.4765625,1661688,1198,8.380777666666667,1.3691187153333333,132872,129.7578125,365192,1194
ff_goldilocks3_d13_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,13,8192,1,4,4,True,3,1000,Blake3,34.72093,1.6023727173333333,143152,139.796875,3691026,1576,22.143505333333334,1.6193310143333333,143792,140.421875,2416706,1588
ff_goldilocks3_d14_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,14,16384,1,4,4,True,3,1000,Blake3,27.092240333333333,1.8179209073333333,155504,151.859375,1052082,1985,25.775029333333332,1.8337540343333334,155024,151.390625,1445896,1977
ff_goldilocks3_d15_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,15,32768,1,4,4,True,3,1000,Blake3,51.08718366666667,1.9314871813333334,170048,166.0625,1773949,2453,29.199191,1.902767555,169344,165.375,1221794,2429
ff_goldilocks3_d16_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,16,65536,1,4,4,True,3,1000,Blake3,80.51555033333334,2.426667737333333,234744,229.2421875,4339820,3392,41.76739666666666,2.377298828333333,235768,230.2421875,2210780,3432
ff_goldilocks3_d17_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,17,131072,1,4,4,True,3,1000,Blake3,86.13967866666667,2.5327450423333335,254496,248.53125,2199959,4011,68.03319733333333,2.4989913246666666,251840,245.9375,1321559,3932
ff_goldilocks3_d18_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,18,262144,1,4,4,True,3,1000,Blake3,140.03317966666665,2.5917428553333335,274112,267.6875,4261404,4622,133.199419,2.632122749,272896,266.5,6244225,4593
ff_goldilocks3_d19_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,19,524288,1,4,4,True,3,1000,Blake3,208.09685466666667,2.787419818,291216,284.390625,2866817,5157,211.60666533333332,2.8508572686666667,293104,286.234375,2552860,5222
ff_goldilocks3_d20_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,20,1048576,1,4,4,True,3,1000,Blake3,362.47284866666666,3.2478200226666667,373608,364.8515625,1388544,6643,377.08102933333333,3.1589061673333334,373608,364.8515625,5415126,6650
ff_goldilocks3_d21_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,21,2097152,1,4,4,True,3,1000,Blake3,801.9286666666667,3.3452870596666666,394064,384.828125,4520982,7280,729.9363343333333,3.4269127906666665,393904,384.671875,3161392,7282
ff_goldilocks3_d22_multilinear_unique_decoding_avg3,Goldilocks3,128,20,1,22,4194304,1,4,4,True,3,1000,Blake3,1512.6029846666665,3.651993716,417232,407.453125,5433494,8002,1372.9431703333335,3.6040066299999998,418288,408.484375,5780603,8042
